neighbourhood,Pice_Average,count1,minimum_nights_Average
Crocker Amazon,92.0,30,17.0
Excelsior,107.0,132,17.0
Ocean View,107.0,96,21.0
Lakeshore,119.0,41,19.0
Bayview,120.0,164,21.0
