neighbourhood,Pice_Average,count1,minimum_nights_Average
Parkland,77.0,11,2.0
Lauderdale Lakes,79.0,40,32.0
Pembroke Park,80.0,19,13.0
West Park,85.0,68,2.0
North Lauderdale,95.0,60,13.0
