neighbourhood,Pice_Average,count1,minimum_nights_Average
Graniteville,45.0,1,20.0
University Heights,49.0,15,17.0
Port Richmond,50.0,7,14.0
Grant City,51.0,11,23.0
Woodside,53.0,390,26.0
