neighbourhood,Pice_Average,count1,minimum_nights_Average
Puna,132.0,876,4.0
Molokai,133.0,152,4.0
Kau,146.0,167,2.0
Hanapepe-Eleele,150.0,1,2.0
Hamakua,152.0,55,4.0
